Date,JPY,AUD
37225,492.159,0
37256,659.442,61
37287,170.03,-147
37315,777.305,-321
37346,1257.86,40
37376,827.18,-71
37407,617.208,-676
37437,1220.927,-605
37468,744.877,-518
37499,639.227,-679
37529,1051.038,-840
37560,891.93,-1307
37590,889.618,-974
37621,794.25,-2222
37652,96.128,-1003
37680,927.183,-1571
37711,960.44,-1441
37741,828.516,-2194
37772,689.28,-1831
37802,837.771,-1980
37833,789.174,-2046
37864,778.462,-1634
37894,1097.759,-1985
37925,1069.615,-1999
37955,989.929,-1442
37986,1122.07,-2241
38017,488.28,-1861
38046,1395.677,-2008
38077,1118.579,-2329
38107,1074.746,-1676
38138,936.115,-1905
38168,1140.574,-2119
38199,1128.635,-2516
38230,572.938,-1806
38260,1213.233,-2158
38291,1154.058,-2228
38321,597.293,-2576
38352,1133.214,-2570
38383,188.172,-1998
38411,1084.057,-2290
38442,1110.598,-2351
38472,947.537,-1252
38503,284.747,-1546
38533,858.323,-1832
38564,861.958,-1051
38595,102.575,-1509
38625,948.595,-1587
38656,817.867,-1371
38686,594.417,-2097
38717,908.309,-762
38748,-394.391,-2462
38776,909.77,-821
38807,939.162,-1268
38837,610.64,-1456
38868,356.319,-2826
38898,799.74,-998
38929,851.11,-949
38960,191.766,-584
38990,1006.759,-1211
39021,613.379,-1655
39051,907.963,-859
39082,1109.663,-1651
39113,1.795,-1689
39141,961.481,-1536
39172,1602.623,-2054
39202,903.058,-1784
39233,395.546,-1824
39263,1245.954,-2468
39294,681.959,-1782
39325,743.649,-2236
39355,1608.675,-2791
39386,999.439,-3314
39416,784.393,-2395
39447,866.944,-2797
39478,-106.312,-2743
39507,935.821,-3820
39538,1096.181,-3001
39568,458.728,-1514
39599,341.109,-2104
39629,104.1,-1745
39660,81.917,-1043
39691,-314.232,80
39721,90.97,289
39752,-75.214,2386
39782,-227.504,280
39813,-322.227,-649
39844,-967.937,303
39872,70.848,2261
39903,-5.407,1961
39933,48.988,-359
39964,281.392,-1097
39994,486.991,-1223
40025,365.668,-1620
40056,165.218,-1614
40086,517.629,-1846
40117,800.06,-1985
40147,365.257,-2338
40178,542.53,-2280
40209,43.082,-1400
40237,638.278,-1422
