,Alpha,Currency,Window_size
0,0.001,AUD,60.0
1,0.001,CAD,60.0
2,0.001,CHF,60.0
3,0.001,EUR,60.0
4,0.001,GBP,60.0
5,0.001,JPY,60.0
6,0.001,NOK,60.0
7,0.001,NZD,60.0
8,0.001,SEK,60.0
