para,Currency,Window_size
0.0029,AUD,40
0.0003,CAD,79
0.0007,CHF,99
0.0007,EUR,99
0.0004,GBP,99
0.0005,JPY,84
0.0008,NOK,82
0.0029,NZD,41
0.0004,SEK,81
