para,Currency,Window_size
0.004,AUD,61
0.002,CAD,79
0.002,CHF,77
0.002,EUR,77
0.002,GBP,77
0.001,JPY,77
0.002,NOK,79
0.004,NZD,61
0.001,SEK,77
